Datetime,open,close,high,low,volume,float,StockSymbol
18/09/2007,6321.242809,6767.743111,6797.84441,6321.242809,351800,253010656,ACB
19/09/2007,7023.602962,7118.923664,7174.108982,6848.012924,413600,253010656,ACB
20/09/2007,7199.193001,6873.09742,7630.643368,6521.917343,335300,253010656,ACB
21/09/2007,6772.760391,6757.709503,6873.09742,6672.422886,250300,253010656,ACB
24/09/2007,6822.928905,7249.361992,7274.446011,6822.928905,286900,253010656,ACB
25/09/2007,7269.429207,7445.019245,7625.626087,7269.429207,376800,253010656,ACB
26/09/2007,7470.103741,7344.682217,7525.289059,7274.446011,283100,253010656,ACB
27/09/2007,7344.682217,7349.69902,7354.715824,7249.361992,258700,253010656,ACB
28/09/2007,7324.614525,7725.963593,7751.047611,7324.614525,371800,253010656,ACB
01/10/2007,7876.469135,8353.071213,8353.071213,7600.542068,510700,253010656,ACB
02/10/2007,8528.660774,8227.649689,8779.503822,7926.63765,436500,253010656,ACB
03/10/2007,8127.31266,8252.733231,8428.323746,8127.31266,255500,253010656,ACB
04/10/2007,8312.935829,8127.31266,8428.323746,8082.16095,214500,253010656,ACB
05/10/2007,8247.716904,8026.974678,8277.817726,7876.469135,212100,253010656,ACB
08/10/2007,8217.616081,8302.902222,8327.986717,8026.974678,406500,253010656,ACB
09/10/2007,8528.660774,8659.099579,9030.34687,8378.154755,518300,253010656,ACB
10/10/2007,8930.009842,8679.166794,8930.009842,8603.914261,177700,253010656,ACB
11/10/2007,8779.503822,8639.03141,8779.503822,8478.492737,176300,253010656,ACB
12/10/2007,8669.133186,8613.947868,8679.166794,8428.323746,275800,253010656,ACB
15/10/2007,8628.997803,8628.997803,8769.470215,8573.812485,264900,253010656,ACB
16/10/2007,8634.015083,8578.829765,8709.267616,8528.660774,252700,253010656,ACB
17/10/2007,8628.997803,8428.323746,8628.997803,8353.071213,344000,253010656,ACB
18/10/2007,8378.154755,8327.986717,8428.323746,8277.817726,199400,253010656,ACB
19/10/2007,8353.071213,8478.492737,8578.829765,8227.649689,267400,253010656,ACB
22/10/2007,8528.660774,8428.323746,8553.74527,8378.154755,222100,253010656,ACB
23/10/2007,8403.23925,8177.480698,8478.492737,8021.958351,216800,253010656,ACB
24/10/2007,8277.817726,8247.716904,8277.817726,8031.991959,200700,253010656,ACB
25/10/2007,8322.969437,8252.733231,8327.986717,8227.649689,193300,253010656,ACB
26/10/2007,8277.817726,8378.154755,8428.323746,8277.817726,261800,253010656,ACB
29/10/2007,8428.323746,8428.323746,8478.492737,8378.154755,302500,253010656,ACB
30/10/2007,8503.576279,8478.492737,8528.660774,8383.172035,503800,253010656,ACB
31/10/2007,8533.678055,9281.189919,9281.189919,8533.678055,807400,253010656,ACB
01/11/2007,9532.032967,9532.032967,9657.454491,9331.35891,778000,253010656,ACB
02/11/2007,9777.858734,9180.85289,10028.70178,9030.34687,346600,253010656,ACB
05/11/2007,9130.683899,8874.824524,9130.683899,8754.419327,239300,253010656,ACB
06/11/2007,8679.166794,8714.284897,8779.503822,8628.997803,259900,253010656,ACB
07/11/2007,8679.166794,8759.436607,9030.34687,8583.846092,267300,253010656,ACB
08/11/2007,8930.009842,8709.267616,8930.009842,8709.267616,206800,253010656,ACB
09/11/2007,8679.166794,8578.829765,8729.335785,8353.071213,340300,253010656,ACB
12/11/2007,8478.492737,8227.649689,8478.492737,8217.616081,304500,253010656,ACB
13/11/2007,8177.480698,7575.457573,8202.565193,7500.204563,426000,253010656,ACB
14/11/2007,8428.323746,8533.678055,8533.678055,8277.817726,405900,253010656,ACB
15/11/2007,9030.34687,8478.492737,9030.34687,8287.851334,202200,253010656,ACB
16/11/2007,8403.23925,8478.492737,8528.660774,8252.733231,230000,253010656,ACB
19/11/2007,8528.660774,8498.559952,8528.660774,8428.323746,163700,253010656,ACB
20/11/2007,8478.492737,8458.424568,8503.576279,8378.154755,288700,253010656,ACB
21/11/2007,8453.408241,8503.576279,8503.576279,8087.177277,253000,253010656,ACB
22/11/2007,8473.475456,8679.166794,9195.902824,8473.475456,460900,253010656,ACB
23/11/2007,8879.840851,8754.419327,8879.840851,8628.997803,287600,253010656,ACB
26/11/2007,8935.026169,8930.009842,9020.313263,8829.672813,395400,253010656,ACB
27/11/2007,8980.177879,8809.604645,9030.34687,8709.267616,306500,253010656,ACB
28/11/2007,8834.68914,8759.436607,8930.009842,8754.419327,262700,253010656,ACB
29/11/2007,8829.672813,8829.672813,8879.840851,8779.503822,250700,253010656,ACB
30/11/2007,8879.840851,8779.503822,8879.840851,8739.369392,169900,253010656,ACB
03/12/2007,8804.588318,8854.756355,8854.756355,8779.503822,230500,253010656,ACB
04/12/2007,8879.840851,8889.874458,9025.32959,8829.672813,354900,253010656,ACB
05/12/2007,8930.009842,8844.722748,8930.009842,8789.53743,181100,253010656,ACB
06/12/2007,8854.756355,8789.53743,8854.756355,8779.503822,154700,253010656,ACB
07/12/2007,8779.503822,8749.403,8789.53743,8679.166794,217200,253010656,ACB
10/12/2007,8739.369392,8528.660774,8739.369392,8478.492737,268000,253010656,ACB
11/12/2007,8528.660774,8403.23925,8528.660774,8327.986717,189200,253010656,ACB
12/12/2007,8378.154755,8363.10482,8578.829765,8242.699623,413500,253010656,ACB
13/12/2007,8378.154755,8267.784119,8378.154755,8227.649689,204600,253010656,ACB
14/12/2007,8327.986717,8257.750511,8789.53743,8227.649689,164000,253010656,ACB
17/12/2007,8302.902222,8227.649689,8302.902222,8202.565193,234600,253010656,ACB
18/12/2007,8227.649689,8227.649689,8237.683296,8077.143669,266400,253010656,ACB
19/12/2007,8177.480698,8478.492737,8478.492737,8177.480698,265800,253010656,ACB
